CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UN,UNPA,NGP,MTS,UNIDOS-,PATRIA-UNIDOS,LIBRE,SOLUCIONES-CON-TODOS,PDC,A-UPP,POKUY,FRI,APB-SUMATE,U.P.C,CREE,UNE,FAP,F-S,ARI,TU,PPS
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000117,2,,,12,2,5,13,16,21,3,12,,1,70,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000127,3,,,7,2,8,17,19,15,4,6,,3,83,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000147,5,,,20,4,6,15,13,24,3,12,,3,58,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,111,Colegio Federico Froebel,3000217,12,,,14,2,5,19,10,11,1,11,,1,80,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,209,Universidad Ucatec (Ex Ceivo),3000337,5,,,9,2,5,18,11,17,2,8,,2,77,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,209,Universidad Ucatec (Ex Ceivo),3000367,8,,,10,4,5,9,15,11,2,7,,6,92,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,209,Universidad Ucatec (Ex Ceivo),3000377,9,,,11,5,6,15,27,10,2,2,,4,83,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,209,Universidad Ucatec (Ex Ceivo),3000387,10,,,11,4,1,15,21,13,3,4,,2,86,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,209,Universidad Ucatec (Ex Ceivo),3000407,12,,,7,6,6,9,19,13,2,8,,3,96,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3000497,8,,,11,8,9,12,16,11,6,9,,1,77,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,203,Colegio Luis Quintin Vila,3002617,7,,,16,6,6,14,17,12,6,3,,3,82,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,26445,kinder Branko Petricevic B,3003857,1,,,10,2,2,5,21,13,5,3,,3,92,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,26445,kinder Branko Petricevic B,3003877,3,,,8,2,6,12,23,3,2,5,,2,103,,,,,,,,
