CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012211,1,240,150,54,14,218,150,218
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012231,3,240,143,64,17,224,143,224
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012271,7,240,168,46,10,224,168,224
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012291,9,240,151,35,27,213,151,213
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012331,13,240,145,48,22,215,145,215
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012351,15,240,138,64,19,221,138,221
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012371,17,240,141,63,15,219,141,219
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012381,18,240,148,54,19,221,148,221
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012391,19,240,132,59,25,216,132,216
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012401,20,28,20,4,0,24,20,24
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012421,2,240,149,48,17,214,149,214
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012461,6,240,127,72,23,222,127,222
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012491,9,240,139,63,16,218,139,218
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012601,9,240,135,76,15,226,135,226
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012611,10,240,138,62,19,219,138,219
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013141,1,240,120,80,16,216,120,216
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013221,9,56,26,18,4,48,26,48
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013061,4,240,132,77,20,229,132,229
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013071,5,240,111,85,17,213,111,213
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013131,11,123,53,45,11,109,53,109
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013231,1,240,135,75,18,228,135,228
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013241,2,240,134,64,25,223,134,223
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013251,3,240,123,68,24,215,123,215
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013271,5,240,129,66,15,210,129,210
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013281,6,240,133,67,26,226,133,226
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013291,7,240,132,76,15,223,132,223
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013301,8,240,120,76,26,222,120,222
